sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,n_positive_available,minimal_sufficient_k,minimal_necessary_k,auc_sufficiency,auc_necessity
q100_1247352,Instrumentation,High,percettiva,True,A,0.5548378043356975,0.5548378043356975,True,MI,5,1.0,,1.4260362901498675,-0.16574830342947497
q100_1247352,Instrumentation,High,percettiva,True,A,0.5548378043356975,0.5548378043356975,True,MI_balanced,5,1.0,,1.4260362901498675,-0.16574830342947497
q100_1247352,Instrumentation,High,percettiva,True,A,0.5548378043356975,0.5548378043356975,True,UC_audio,11,1.0,,1.4191849320817034,0.0013962643073321004
q100_1247352,Instrumentation,High,percettiva,True,A,0.5548378043356975,0.5548378043356975,True,UC_text,7,1.0,,2.153754327453655,-0.6729760613089102
q101_1247352,Melody,High,analitica,True,A,0.6972012608955214,0.6972012608955214,True,MI,16,2.0,1.0,0.34632348732185814,0.6776291488545265
q101_1247352,Melody,High,analitica,True,A,0.6972012608955214,0.6972012608955214,True,MI_balanced,16,1.0,1.0,0.6333960034892648,0.661159221725282
q101_1247352,Melody,High,analitica,True,A,0.6972012608955214,0.6972012608955214,True,UC_audio,13,1.0,,0.7566804565436125,0.17346454938595565
q101_1247352,Melody,High,analitica,True,A,0.6972012608955214,0.6972012608955214,True,UC_text,9,5.0,1.0,0.43152140491996677,0.8200057509149867
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.7238252221109805,0.7238252221109805,True,MI,12,1.0,,0.981453692702111,0.11922772205118838
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.7238252221109805,0.7238252221109805,True,MI_balanced,12,4.0,,0.9546665933579154,0.21024680664823825
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.7238252221109805,0.7238252221109805,True,UC_audio,4,1.0,,1.060839225626281,0.09166493756754755
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.7238252221109805,0.7238252221109805,True,UC_text,7,1.0,,0.922968146041042,0.34143978347830506
