sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,n_positive_available,minimal_sufficient_k,minimal_necessary_k,auc_sufficiency,auc_necessity
q100_1247352,Instrumentation,High,percettiva,False,B,0.8496405936188972,0.08153753195514829,True,MI,9,1.0,,0.838095296682603,0.08192302168584732
q100_1247352,Instrumentation,High,percettiva,False,B,0.8496405936188972,0.08153753195514829,True,MI_balanced,9,1.0,,0.8415526359974198,0.08175167605415509
q100_1247352,Instrumentation,High,percettiva,False,B,0.8496405936188972,0.08153753195514829,True,UC_audio,6,1.0,,0.8469492644131499,0.062710910720781
q100_1247352,Instrumentation,High,percettiva,False,B,0.8496405936188972,0.08153753195514829,True,UC_text,8,1.0,1.0,1.0009964539132241,0.7554885008833723
q101_1247352,Melody,High,analitica,False,B,0.9111145022706364,0.03216627610898569,True,MI,14,1.0,,0.9510319393060954,0.0503421442002522
q101_1247352,Melody,High,analitica,False,B,0.9111145022706364,0.03216627610898569,True,MI_balanced,14,1.0,,0.9524820017206621,0.05194220462274337
q101_1247352,Melody,High,analitica,False,B,0.9111145022706364,0.03216627610898569,True,UC_audio,6,1.0,,0.9471405989240738,0.012570036741510198
q101_1247352,Melody,High,analitica,False,B,0.9111145022706364,0.03216627610898569,True,UC_text,7,2.0,2.0,0.8938733761823824,0.7178769452962522
q102_1247352,Instrumentation,Medium,percettiva,False,B,0.5407108597071981,0.2254018210396452,True,MI,9,1.0,,0.8136483652171481,0.07762441641731121
q102_1247352,Instrumentation,Medium,percettiva,False,B,0.5407108597071981,0.2254018210396452,True,MI_balanced,9,1.0,,0.8097199886941248,0.07866557573013218
q102_1247352,Instrumentation,Medium,percettiva,False,B,0.5407108597071981,0.2254018210396452,True,UC_audio,5,1.0,,0.755856350305746,0.07880357251339959
q102_1247352,Instrumentation,Medium,percettiva,False,B,0.5407108597071981,0.2254018210396452,True,UC_text,3,1.0,1.0,0.6418770417943063,0.37420450363736574
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.5560478967540813,0.31682654129822907,True,MI,2,1.0,,0.8694091550993251,0.19512059937267037
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.5560478967540813,0.31682654129822907,True,MI_balanced,2,1.0,,0.8696696443361311,0.19635930922194447
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.5560478967540813,0.31682654129822907,True,UC_audio,4,1.0,,0.8628560512352819,0.42577322513307914
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.5560478967540813,0.31682654129822907,True,UC_text,6,1.0,2.0,1.4864894940853637,0.646951801340991
q104_625206,Instrumentation,Medium,percettiva,True,A,0.42476945112534614,0.42476945112534614,True,MI,8,1.0,,0.8126851328898936,0.14203392571354723
q104_625206,Instrumentation,Medium,percettiva,True,A,0.42476945112534614,0.42476945112534614,True,MI_balanced,8,1.0,,0.8196460100227724,0.1486062490142643
q104_625206,Instrumentation,Medium,percettiva,True,A,0.42476945112534614,0.42476945112534614,True,UC_audio,9,1.0,,1.0153337748263283,-0.10400536609330284
q104_625206,Instrumentation,Medium,percettiva,True,A,0.42476945112534614,0.42476945112534614,True,UC_text,5,2.0,1.0,1.6616040565816577,1.0631299079307917
q105_625206,Instrumentation,Medium,percettiva,True,A,0.7532489675371774,0.7532489675371774,True,MI,6,1.0,,0.8130113993846811,0.1120645964361735
q105_625206,Instrumentation,Medium,percettiva,True,A,0.7532489675371774,0.7532489675371774,True,MI_balanced,6,1.0,,0.8176726540385243,0.11240971891657617
q105_625206,Instrumentation,Medium,percettiva,True,A,0.7532489675371774,0.7532489675371774,True,UC_audio,8,1.0,,0.8445946231638796,0.1244849154248778
q105_625206,Instrumentation,Medium,percettiva,True,A,0.7532489675371774,0.7532489675371774,True,UC_text,6,3.0,1.0,0.8814811866709262,1.0731764702923963
q106_395289,Instrumentation,Low,percettiva,False,B,0.3305816311344825,0.28276145348454557,True,MI,6,1.0,,0.7002044663642509,0.28588239891302064
q106_395289,Instrumentation,Low,percettiva,False,B,0.3305816311344825,0.28276145348454557,True,MI_balanced,6,1.0,,0.6954791074357062,0.27912744039551884
q106_395289,Instrumentation,Low,percettiva,False,B,0.3305816311344825,0.28276145348454557,True,UC_audio,8,1.0,,0.4702308767786961,0.12446451666334009
q106_395289,Instrumentation,Low,percettiva,False,B,0.3305816311344825,0.28276145348454557,True,UC_text,2,1.0,,-0.6080755405936528,-1.3523584679220806
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.6666235264978556,0.04536430029134309,True,MI,11,1.0,,0.5827076342786369,0.23733581279916785
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.6666235264978556,0.04536430029134309,True,MI_balanced,11,1.0,,0.5899831870912308,0.2271995359951929
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.6666235264978556,0.04536430029134309,True,UC_audio,7,1.0,,0.5585361909426285,0.08159434735900344
q107_2083,Metre and Rhythm,Medium,percettiva,False,D,0.6666235264978556,0.04536430029134309,True,UC_text,5,1.0,3.0,0.8597664257069817,1.1182222475157544
q108_2083,Genre and Style,Low,knowledge,False,D,0.4887847905939114,0.33593654621128577,True,MI,8,1.0,,1.3821048802717146,-0.10571628125236128
q108_2083,Genre and Style,Low,knowledge,False,D,0.4887847905939114,0.33593654621128577,True,MI_balanced,8,1.0,,1.3824677411040607,-0.10615557457148866
q108_2083,Genre and Style,Low,knowledge,False,D,0.4887847905939114,0.33593654621128577,True,UC_audio,5,1.0,,1.6479788421611494,0.08477923531471034
q108_2083,Genre and Style,Low,knowledge,False,D,0.4887847905939114,0.33593654621128577,True,UC_text,6,2.0,1.0,0.7457480400996949,1.9821360636083039
q109_2083,Instrumentation,Low,percettiva,False,C,0.6391568320925987,0.1298525866104431,True,MI,8,1.0,,1.4059148996506994,-0.13970233915438485
q109_2083,Instrumentation,Low,percettiva,False,C,0.6391568320925987,0.1298525866104431,True,MI_balanced,8,1.0,,1.406129390694421,-0.142886463607153
q109_2083,Instrumentation,Low,percettiva,False,C,0.6391568320925987,0.1298525866104431,True,UC_audio,8,1.0,,1.3308021241822499,-0.1413449960910361
q109_2083,Instrumentation,Low,percettiva,False,C,0.6391568320925987,0.1298525866104431,True,UC_text,2,1.0,1.0,1.655689918726442,0.6243859493287595
q10_1093606,Sound Texture,Low,percettiva,False,D,0.624188267288933,0.12290995735466702,True,MI,8,1.0,,0.9459501845117824,0.3251485060962506
q10_1093606,Sound Texture,Low,percettiva,False,D,0.624188267288933,0.12290995735466702,True,MI_balanced,8,1.0,,0.9458606195598446,0.3251485060962506
q10_1093606,Sound Texture,Low,percettiva,False,D,0.624188267288933,0.12290995735466702,True,UC_audio,4,1.0,,1.157934215816483,0.15738726299515282
q10_1093606,Sound Texture,Low,percettiva,False,D,0.624188267288933,0.12290995735466702,True,UC_text,6,1.0,1.0,1.4664359345137903,0.7005861995021551
q110_1336202,Performance,Medium,analitica,True,A,0.6722413610636903,0.6722413610636903,True,MI,12,1.0,,0.9850558158964579,0.08445809806321732
q110_1336202,Performance,Medium,analitica,True,A,0.6722413610636903,0.6722413610636903,True,MI_balanced,12,1.0,,0.9833694107704092,0.08614581313986207
q110_1336202,Performance,Medium,analitica,True,A,0.6722413610636903,0.6722413610636903,True,UC_audio,8,1.0,,1.0092300206882834,0.008820535392585805
q110_1336202,Performance,Medium,analitica,True,A,0.6722413610636903,0.6722413610636903,True,UC_text,6,1.0,1.0,0.9666505307271298,1.3239247269004368
q111_1336202,Functional Context,Low,knowledge,False,D,0.9240076131059893,0.05212894240353982,True,MI,11,1.0,,0.8881761255802777,0.10856326252101729
q111_1336202,Functional Context,Low,knowledge,False,D,0.9240076131059893,0.05212894240353982,True,MI_balanced,11,1.0,,0.8881761255802777,0.10837628739951784
q111_1336202,Functional Context,Low,knowledge,False,D,0.9240076131059893,0.05212894240353982,True,UC_audio,8,1.0,,0.8497122032095467,0.03367967140227155
q111_1336202,Functional Context,Low,knowledge,False,D,0.9240076131059893,0.05212894240353982,True,UC_text,6,1.0,5.0,1.046462375076295,0.4573628687149976
q112_1336202,Instrumentation,Medium,percettiva,False,B,0.7751847285558952,0.12265203474023631,True,MI,8,1.0,,0.8703795829668336,0.18530935084031752
