sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,n_positive_available,minimal_sufficient_k,minimal_necessary_k,auc_sufficiency,auc_necessity
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,MI,17,,8.0,-0.0075947342673056435,0.4008084574454636
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,MI_balanced,17,,7.0,0.22045834780366697,0.44612419758246047
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,UC_audio,14,7.0,,0.629922594066711,0.16697676473299247
q100_1247352,Instrumentation,High,percettiva,True,A,0.8926721432251137,0.8926721432251137,True,UC_text,5,1.0,3.0,0.8768576098267512,0.736118326540245
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,MI,13,10.0,11.0,0.5215451517553734,0.30943606114148015
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,MI_balanced,13,2.0,2.0,0.8315050134101786,0.49713478851907406
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,UC_audio,8,1.0,,1.0220534202821232,0.02133812342668851
q101_1247352,Melody,High,analitica,False,B,0.8643542420504464,0.06068719298864371,True,UC_text,5,4.0,5.0,0.6349448070354645,0.5097368250763434
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,MI,13,1.0,6.0,0.9017279295747377,0.4817979127229649
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,MI_balanced,13,4.0,4.0,1.104327891269544,0.596493792401695
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,UC_audio,10,3.0,,0.8830727481453697,-0.18298411838942755
q102_1247352,Instrumentation,Medium,percettiva,True,A,0.6553479317558064,0.6553479317558064,True,UC_text,3,1.0,2.0,0.8533295190029969,0.8835780967276397
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,MI,8,1.0,,0.8818895057443448,0.06035958043184668
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,MI_balanced,8,3.0,,0.7639042690030143,0.09236880880260771
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,UC_audio,10,1.0,,1.0951280079874632,-0.014644908099022746
q103_625206,Metre and Rhythm,Medium,percettiva,False,B,0.7555273815934902,0.1397585127154639,True,UC_text,8,1.0,,0.9886705918048821,0.04996965469240795
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,MI,12,1.0,2.0,1.1274535634198553,0.39375512699345894
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,MI_balanced,12,1.0,1.0,1.5121686473340288,0.7626471561158102
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,UC_audio,8,1.0,,1.5688942188622552,-0.5057590164155491
q104_625206,Instrumentation,Medium,percettiva,True,A,0.4557241306096894,0.4557241306096894,True,UC_text,7,2.0,1.0,0.8413546868326514,1.4699313340693492
